Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
Danish Kaneria,1,6,4,0,0,150,6,1,0,0,0
T Mupariwa,1,0,3,1,0,0,0,0,0,0,0
PG Fulton,8,297,424,8,37.12,70.05,83,29,2,2,0
KT Sandher,1,2,6,1,2,33.33,2,0,0,0,0
WPUJC Vaas,4,34,39,2,17,87.18,19,2,1,0,0
JF Mooney,2,23,45,2,11.5,51.11,23,2,0,0,0
A Symonds,8,189,192,3,63,98.44,63,19,4,1,0
SM Pollock,5,63,93,4,15.75,67.74,21,3,1,0,0
AJ Hall,4,28,38,3,9.33,73.68,17,1,0,0,0
CK Langeveldt,4,16,57,3,5.33,28.07,9,1,0,0,0
M Ntini,3,15,20,3,5,75,8,2,0,0,0
AO Suji,1,14,29,1,14,48.28,14,2,0,0,0
M Muralitharan,2,3,3,1,3,100,2,0,0,0,0
SL Malinga,3,12,15,2,6,80,10,0,1,0,0
RJ Peterson,2,12,16,0,0,75,8,2,0,0,0
LMP Simmons,1,14,26,0,0,53.85,14,2,0,0,0
HJH Marshall,3,81,98,2,40.5,82.65,50,6,1,1,0
WB Rankin,4,15,45,1,15,33.33,7,1,0,0,0
IDR Bradshaw,2,26,62,1,26,41.94,20,1,0,0,0
Javed Omar,3,55,141,3,18.33,39.01,22,6,0,0,0
PJK Mooney,1,0,1,1,0,0,0,0,0,0,0
CRD Fernando,2,3,8,1,3,37.5,2,0,0,0,0
SI Mahmood,3,2,5,2,1,40,2,0,0,0,0
A Nel,2,9,46,2,4.5,19.57,8,1,0,0,0
AJ Strauss,4,83,126,4,20.75,65.87,46,5,2,0,0
MS Panesar,2,3,30,1,3,10,2,0,0,0,0
JM Anderson,3,0,8,2,0,0,0,0,0,0,0
JEC Franklin,4,95,96,1,95,98.96,34,5,2,0,0
PG Gillespie,1,2,8,1,2,25,2,0,0,0,0
DS Smith,3,99,145,3,33,68.28,61,10,0,1,0
KA Pollard,1,10,17,1,10,58.82,10,1,0,0,0
Shahadat Hossain,1,0,2,0,0,0,0,0,0,0,0
KMDN Kulasekara,1,1,5,1,1,20,1,0,0,0,0
HMCM Bandara,1,17,19,1,17,89.47,17,0,2,0,0
KED Carroll,1,0,2,1,0,0,0,0,0,0,0
MR Gillespie,1,2,8,1,2,25,2,0,0,0,0
MJ Mason,1,0,5,1,0,0,0,0,0,0,0
JS Patel,2,34,39,1,34,87.18,34,2,1,0,0
SCJ Broad,1,5,5,0,0,100,5,0,0,0,0
SE Bond,1,2,4,1,2,50,2,0,0,0,0
